StoreID,sales_date,product,volume,GP_Dollar
11064,4/10/23,Plus,760,247.41
11064,2/25/23,Plus,704,179.64
11064,4/5/23,Plus,544,191.48
11064,3/15/23,Plus,586,254.24
11064,2/5/23,Plus,793,316.03
11064,3/24/23,Plus,669,292.76
11064,3/22/23,Plus,595,270.12
11064,4/4/23,Plus,549,194.13
11064,1/13/23,Plus,675,64.43
11064,1/24/23,Plus,369,56.15
11064,3/14/23,Plus,475,204.34
11064,3/10/23,Plus,665,261.97
11064,1/15/23,Plus,690,17.9
11064,2/13/23,Plus,378,160.81
11064,3/26/23,Plus,825,289.25
11064,1/7/23,Plus,538,173.71
11064,1/28/23,Plus,675,56.67
11064,1/4/23,Plus,386,87.07
11064,2/16/23,Plus,639,277.95
11064,2/22/23,Plus,496,146.03
11064,2/20/23,Plus,626,215.16
11064,4/11/23,Plus,686,235.51
11064,4/26/23,Plus,536,310.47
11064,1/26/23,Plus,484,45.85
11064,1/21/23,Plus,490,132.47
11064,1/22/23,Plus,569,127.69
11064,4/30/23,Plus,709,456.28
11064,2/8/23,Plus,543,164.92
11064,1/31/23,Plus,470,152.49
11064,3/8/23,Plus,491,188.15
11064,1/2/23,Plus,881,260.06
11064,1/30/23,Plus,749,173.32
11064,1/1/23,Plus,439,128.09
11064,2/14/23,Plus,605,255.15
11064,2/24/23,Plus,486,121.54
11064,2/9/23,Plus,619,155.96
11064,1/18/23,Plus,485,128.09
11064,2/7/23,Plus,503,180.87
11064,3/9/23,Plus,618,225.63
11064,3/16/23,Plus,630,289.23
11064,3/5/23,Plus,673,242.55
11064,4/25/23,Plus,546,274.54
11064,2/27/23,Plus,611,145.16
11064,4/12/23,Plus,573,210.04
11064,3/12/23,Plus,782,321.49
11064,4/28/23,Plus,773,496.9
11064,2/19/23,Plus,665,249.33
11064,3/19/23,Plus,587,250.04
11064,2/4/23,Plus,725,196.9
11064,4/2/23,Plus,693,265.5
11064,2/28/23,Plus,563,140.47
11064,3/29/23,Plus,704,267.7
11064,2/23/23,Plus,221,60.83
11064,1/19/23,Plus,603,160.43
11064,2/10/23,Plus,582,209.61
11064,1/6/23,Plus,312,100
11064,1/10/23,Plus,515,109.21
11064,4/13/23,Plus,656,243.72
11064,2/1/23,Plus,603,176.2
11064,2/15/23,Plus,484,211.51
11064,2/17/23,Plus,546,209.84
11064,3/21/23,Plus,437,159.29
11064,1/16/23,Plus,621,8.32
11064,1/3/23,Plus,433,95.85
11064,2/26/23,Plus,939,215.11
11064,1/5/23,Plus,501,164.47
11064,2/12/23,Plus,713,316.91
11064,4/14/23,Plus,672,250.84
11064,3/1/23,Plus,-1810,-663.81
11064,3/11/23,Plus,680,279.62
11064,3/30/23,Plus,566,254.63
11064,1/29/23,Plus,803,72.78
11064,4/21/23,Plus,648,299.16
11064,1/27/23,Plus,516,36.3
11064,2/21/23,Plus,449,138.12
11064,3/3/23,Plus,552,163.88
11064,2/2/23,Plus,617,187.48
11064,4/18/23,Plus,471,166.33
11064,4/8/23,Plus,745,221.01
11064,3/7/23,Plus,567,213.99
11064,3/27/23,Plus,648,206.42
11064,4/27/23,Plus,495,299.75
11064,1/11/23,Plus,467,90.19
11064,1/23/23,Plus,571,111.02
11064,3/23/23,Plus,609,265.78
11064,3/25/23,Plus,603,263.32
11064,4/15/23,Plus,800,296.17
11064,4/23/23,Plus,669,334.42
11064,4/29/23,Plus,573,368.44
11064,1/17/23,Plus,407,51.37
11064,2/18/23,Plus,660,235.76
11064,3/13/23,Plus,557,230.95
11064,1/20/23,Plus,727,238.21
11064,1/25/23,Plus,600,60.45
11064,4/17/23,Plus,407,139.95
11064,1/9/23,Plus,611,153.48
11064,2/11/23,Plus,677,300.77
11064,4/3/23,Plus,579,220.74
11064,3/17/23,Plus,575,265.79
